"Species" "Family" "Lifeform" "N" "Hemicellulose" "Cellulose" "Lignin" "LamWS" "LamFT" "VeinFT" "LamD" "LamT"
"155" "Randia_armata" "Rubiaceae" "UNDERSTORY" 7 267.854 196.044 60.138 0.047 369.736 2162.068 0.28 0.126
"156" "Rinorea_sylvatica" "Violaceae" "SHRUB" 6 245.999 210.505 131.104 0.054 443.05 1818.379 0.292 0.119
"157" "Sapium_glandulosum" "Euphorbiaceae" "MIDSTORY" 2 139.123 205.523 60.708 0.028 250.05 2134.9 0.189 0.118
"158" "Schizolobium_parahyba" "Fabaceae" "TREE" 5 165.531 232.198 98.452 0.034 355.311 3921.978 0.228 0.092
"159" "Senna_dariensis" "Fabaceae" "SHRUB" 2 132.793 189.318 78.969 0.109 728.3 4144.25 0.297 0.15
"160" "Siparuna_guianensis" "Monimiaceae" "SHRUB" 6 217.543 179.54 100.863 0.066 386.4 3551.2 0.217 0.17
"161" "Siparuna_pauciflora" "Monimiaceae" "SHRUB" 10 151.61 248.013 171.058 0.072 311.55 1765.19 0.175 0.23
"162" "Solanum_hayesii" "Solanaceae" "SHRUB" 3 174.979 225.482 123.638 0.022 200.85 2102.15 0.184 0.11
"163" "Sorocea_affinis" "Moraceae" "SHRUB" 2 161.217 174.669 81.126 0.051 401.575 3588.075 0.294 0.13
"164" "Spondias_mombin" "Anacardiaceae" "TREE" 2 94.744 190.136 126.758 0.033 248 2813.025 0.221 0.128
"165" "Spondias_radlkoferi" "Anacardiaceae" "TREE" 4 81.227 124.807 70.655 0.024 156.914 1419.896 0.242 0.141
"166" "Sterculia_apetala" "Malvaceae" "TREE" 3 281.431 222.746 110.302 0.026 313.925 3221.225 0.256 0.083
"167" "Stylogyne_turbacensis" "Myrsinaceae" "UNDERSTORY" 5 71.95 179.145 305.527 0.143 503.367 2420.617 0.34 0.282
"168" "Swartzia_simplex var_grandiflora" "Fabaceae" "UNDERSTORY" 10 134.372 203.323 175.493 0.087 540.028 5185.294 0.432 0.163
"169" "Swartzia_simplex var_ochnacea" "Fabaceae" "UNDERSTORY" 10 126.601 216.439 183.189 0.105 654.891 6228.596 0.465 0.161
"170" "Symphonia_globulifera" "Clusiaceae" "TREE" 7 196.095 218.77 109.805 0.064 303.738 4383.588 0.236 0.211
"171" "Tabebuia_guayacan" "Bignoniaceae" "TREE" 1 155.431 205.16 137.744 0.017 164.85 2151.3 0.175 0.1
"172" "Tabebuia_rosea" "Bignoniaceae" "TREE" 2 115.393 255.346 193.098 0.062 410.45 2530.95 0.196 0.15
"173" "Tabernaemontana_arborea" "Apocynaceae" "TREE" 4 240.17 165.143 84.591 0.035 200.817 1980.333 0.165 0.173
"174" "Tachigali_versicolor" "Fabaceae" "TREE" 4 131.512 238.035 260.271 0.065 542.975 4285.975 0.339 0.119
"175" "Talisia_croatii" "Sapindaceae" "UNDERSTORY" 12 146.486 188.896 213.686 0.071 681.091 6544.587 0.461 0.108
"176" "Terminalia_amazonia" "Combretaceae" "TREE" 7 169.218 162.202 87.372 0.055 449.143 3257.652 0.354 0.128
